party,week,total_tweets,positive_tweets,negative_tweets,positive_ratio,negative_ratio
democrat,2015-09-07,1,0,1,0.0,1.0
democrat,2015-10-12,1,1,0,1.0,0.0
democrat,2015-12-07,1,1,0,1.0,0.0
democrat,2015-12-14,1,0,1,0.0,1.0
democrat,2016-02-29,1,1,0,1.0,0.0
democrat,2016-06-06,1,1,0,1.0,0.0
democrat,2016-06-27,1,0,1,0.0,1.0
democrat,2016-11-21,1,0,1,0.0,1.0
democrat,2016-12-12,3,2,1,0.6666666666666666,0.3333333333333333
democrat,2017-01-09,4,2,2,0.5,0.5
democrat,2017-01-23,1,0,1,0.0,1.0
democrat,2017-01-30,8,7,1,0.875,0.125
democrat,2017-03-06,1,1,0,1.0,0.0
democrat,2017-04-03,1,1,0,1.0,0.0
democrat,2017-05-01,1,0,1,0.0,1.0
democrat,2017-05-15,11,6,5,0.5454545454545454,0.45454545454545453
democrat,2017-05-22,17,15,2,0.8823529411764706,0.11764705882352941
democrat,2017-05-29,1,1,0,1.0,0.0
democrat,2017-06-05,2,2,0,1.0,0.0
democrat,2017-06-19,1,0,1,0.0,1.0
democrat,2017-06-26,1,0,1,0.0,1.0
democrat,2017-07-10,2,2,0,1.0,0.0
democrat,2017-07-24,1,0,1,0.0,1.0
democrat,2017-08-07,1,0,1,0.0,1.0
democrat,2017-08-28,1,1,0,1.0,0.0
democrat,2017-09-04,2,2,0,1.0,0.0
democrat,2017-09-11,3,3,0,1.0,0.0
democrat,2017-10-02,1,1,0,1.0,0.0
democrat,2017-11-06,2,2,0,1.0,0.0
democrat,2017-12-18,3,2,1,0.6666666666666666,0.3333333333333333
democrat,2018-01-08,3,1,2,0.3333333333333333,0.6666666666666666
democrat,2018-01-22,2,2,0,1.0,0.0
democrat,2018-03-26,1,0,1,0.0,1.0
democrat,2018-04-02,2,2,0,1.0,0.0
democrat,2018-05-28,1,1,0,1.0,0.0
democrat,2018-06-04,137,95,42,0.6934306569343066,0.30656934306569344
democrat,2018-06-11,8,6,2,0.75,0.25
democrat,2018-06-25,2,2,0,1.0,0.0
democrat,2018-08-06,1,1,0,1.0,0.0
democrat,2018-08-20,4,4,0,1.0,0.0
democrat,2018-10-22,142,91,51,0.6408450704225352,0.3591549295774648
democrat,2018-11-05,225,106,119,0.4711111111111111,0.5288888888888889
democrat,2018-11-26,84,57,27,0.6785714285714286,0.32142857142857145
democrat,2018-12-03,16,11,5,0.6875,0.3125
democrat,2018-12-17,5,4,1,0.8,0.2
democrat,2018-12-24,3,3,0,1.0,0.0
democrat,2019-01-14,6,4,2,0.6666666666666666,0.3333333333333333
democrat,2019-01-28,88,44,44,0.5,0.5
democrat,2019-02-04,16,6,10,0.375,0.625
democrat,2019-02-11,169,50,119,0.2958579881656805,0.7041420118343196
democrat,2019-02-18,3,3,0,1.0,0.0
democrat,2019-02-25,417,234,183,0.5611510791366906,0.43884892086330934
democrat,2019-03-04,175,64,111,0.3657142857142857,0.6342857142857142
democrat,2019-03-11,325,160,165,0.49230769230769234,0.5076923076923077
democrat,2019-03-18,720,288,432,0.4,0.6
democrat,2019-03-25,129,63,66,0.4883720930232558,0.5116279069767442
democrat,2019-04-01,5,3,2,0.6,0.4
democrat,2019-04-08,3,2,1,0.6666666666666666,0.3333333333333333
democrat,2019-04-15,1,0,1,0.0,1.0
democrat,2019-04-22,12,7,5,0.5833333333333334,0.4166666666666667
democrat,2019-04-29,5,3,2,0.6,0.4
democrat,2019-05-20,112,70,42,0.625,0.375
democrat,2019-05-27,121,80,41,0.6611570247933884,0.33884297520661155
democrat,2019-06-03,4,4,0,1.0,0.0
democrat,2019-06-17,44,27,17,0.6136363636363636,0.38636363636363635
democrat,2019-06-24,1575,916,659,0.5815873015873015,0.4184126984126984
democrat,2019-07-01,18,9,9,0.5,0.5
democrat,2019-07-08,3,1,2,0.3333333333333333,0.6666666666666666
democrat,2019-07-15,392,212,180,0.5408163265306123,0.45918367346938777
